City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Tacoma,Multi-Family (2-4 Unit),6/1/13,6/30/13,276
Seattle,Multi-Family (2-4 Unit),4/1/14,4/30/14,575
Snoqualmie,Multi-Family (2-4 Unit),8/1/14,8/31/14,250
Olympia,Multi-Family (2-4 Unit),10/1/14,10/31/14,205
Olympia,Multi-Family (2-4 Unit),11/1/14,11/30/14,210
Tacoma,Multi-Family (2-4 Unit),11/1/14,11/30/14,208
Olympia,Multi-Family (2-4 Unit),4/1/15,4/30/15,201
Tacoma,Multi-Family (2-4 Unit),6/1/15,6/30/15,260
Tacoma,Multi-Family (2-4 Unit),7/1/15,7/31/15,225
Seattle,Multi-Family (2-4 Unit),11/1/15,11/30/15,970
Bellevue,Multi-Family (2-4 Unit),6/1/16,6/30/16,985
Olympia,Multi-Family (2-4 Unit),2/1/17,2/28/17,356
Olympia,Multi-Family (2-4 Unit),3/1/17,3/31/17,225
Seattle,Multi-Family (2-4 Unit),4/1/17,4/30/17,919
Tacoma,Multi-Family (2-4 Unit),11/1/17,11/30/17,340
Seattle,Multi-Family (2-4 Unit),7/1/19,7/31/19,869
Bellevue,All Residential,12/1/10,12/31/10,485
Bothell,All Residential,1/1/11,1/31/11,305
Olympia,All Residential,2/1/11,2/28/11,230
Tacoma,All Residential,2/1/11,2/28/11,164
Seattle,All Residential,3/1/11,3/31/11,350
Mercer Island,All Residential,3/1/11,3/31/11,700
Olympia,All Residential,4/1/11,4/30/11,230
Seattle,All Residential,4/1/11,4/30/11,350
Bellevue,All Residential,4/1/11,4/30/11,490
Kent,All Residential,10/1/11,10/31/11,206
Sammamish,All Residential,11/1/11,11/30/11,465
Snoqualmie,All Residential,12/1/11,12/31/11,332
Bothell,All Residential,6/1/12,6/30/12,314
Sammamish,All Residential,7/1/12,7/31/12,520
Snoqualmie,All Residential,8/1/12,8/31/12,415
Bothell,All Residential,8/1/12,8/31/12,330
Olympia,All Residential,9/1/12,9/30/12,231
Sammamish,All Residential,10/1/12,10/31/12,470
Mercer Island,All Residential,10/1/12,10/31/12,886
Snoqualmie,All Residential,10/1/12,10/31/12,412
Snoqualmie,All Residential,11/1/12,11/30/12,422
Olympia,All Residential,12/1/12,12/31/12,220
Kent,All Residential,12/1/12,12/31/12,236
Mercer Island,All Residential,1/1/13,1/31/13,949
Bellevue,All Residential,2/1/13,2/28/13,553
Snoqualmie,All Residential,4/1/13,4/30/13,460
Tacoma,All Residential,4/1/13,4/30/13,175
Bellevue,All Residential,6/1/13,6/30/13,570
Olympia,All Residential,7/1/13,7/31/13,245
Bellevue,All Residential,7/1/13,7/31/13,568
Bothell,All Residential,8/1/13,8/31/13,380
Seattle,All Residential,8/1/13,8/31/13,415
Mercer Island,All Residential,8/1/13,8/31/13,929
Redmond,All Residential,9/1/13,9/30/13,525
Tacoma,All Residential,9/1/13,9/30/13,180
Olympia,All Residential,11/1/13,11/30/13,239
Snoqualmie,All Residential,11/1/13,11/30/13,393
Bellevue,All Residential,1/1/14,1/31/14,518
Seattle,All Residential,1/1/14,1/31/14,410
Issaquah,All Residential,2/1/14,2/28/14,422
Mercer Island,All Residential,2/1/14,2/28/14,836
Snoqualmie,All Residential,4/1/14,4/30/14,441
Snoqualmie,All Residential,5/1/14,5/31/14,499
Bothell,All Residential,5/1/14,5/31/14,417
Snoqualmie,All Residential,6/1/14,6/30/14,482
Seattle,All Residential,6/1/14,6/30/14,450
Bothell,All Residential,7/1/14,7/31/14,395
Olympia,All Residential,9/1/14,9/30/14,244
Sammamish,All Residential,11/1/14,11/30/14,578
Snoqualmie,All Residential,11/1/14,11/30/14,491
Seattle,All Residential,1/1/15,1/31/15,459
Mercer Island,All Residential,1/1/15,1/31/15,988
Kent,All Residential,1/1/15,1/31/15,265
Seattle,All Residential,3/1/15,3/31/15,454
Sammamish,All Residential,3/1/15,3/31/15,649
Kent,All Residential,3/1/15,3/31/15,280
Tacoma,All Residential,4/1/15,4/30/15,210
Tacoma,All Residential,5/1/15,5/31/15,210
Olympia,All Residential,8/1/15,8/31/15,269
Mercer Island,All Residential,8/1/15,8/31/15,"1,325"
Tacoma,All Residential,8/1/15,8/31/15,225
Snoqualmie,All Residential,9/1/15,9/30/15,462
Bellevue,All Residential,9/1/15,9/30/15,680
Seattle,All Residential,10/1/15,10/31/15,480
Bellevue,All Residential,10/1/15,10/31/15,625
Tacoma,All Residential,10/1/15,10/31/15,215
Snoqualmie,All Residential,1/1/16,1/31/16,465
Seattle,All Residential,1/1/16,1/31/16,525
Mercer Island,All Residential,1/1/16,1/31/16,995
Tacoma,All Residential,1/1/16,1/31/16,204
Kent,All Residential,5/1/16,5/31/16,330
Seattle,All Residential,6/1/16,6/30/16,575
Mercer Island,All Residential,7/1/16,7/31/16,"1,220"
Bellevue,All Residential,9/1/16,9/30/16,691
Snoqualmie,All Residential,10/1/16,10/31/16,575
Kenmore,All Residential,10/1/16,10/31/16,540
Sammamish,All Residential,12/1/16,12/31/16,919
Tacoma,All Residential,2/1/17,2/28/17,237
Tacoma,All Residential,5/1/17,5/31/17,262
Olympia,All Residential,7/1/17,7/31/17,303
Kent,All Residential,9/1/17,9/30/17,385
Olympia,All Residential,10/1/17,10/31/17,293
Redmond,All Residential,10/1/17,10/31/17,746
Bothell,All Residential,10/1/17,10/31/17,605
Mercer Island,All Residential,11/1/17,11/30/17,"1,665"
Tacoma,All Residential,2/1/18,2/28/18,288
Olympia,All Residential,4/1/18,4/30/18,301
Issaquah,All Residential,4/1/18,4/30/18,788
Snoqualmie,All Residential,7/1/18,7/31/18,690
Snoqualmie,All Residential,9/1/18,9/30/18,710
Snoqualmie,All Residential,10/1/18,10/31/18,688
Olympia,All Residential,11/1/18,11/30/18,325
Olympia,All Residential,12/1/18,12/31/18,340
Seattle,All Residential,1/1/19,1/31/19,630
Issaquah,All Residential,2/1/19,2/28/19,670
