City,Property Type,Period Begin,Period End,Median Sale Price (in 000's of dollars)
Seattle,Multi-Family (2-4 Unit),8/1/19,8/31/19,955
Kirkland,Condo/Co-op,1/1/10,1/31/10,200
Olympia,Condo/Co-op,4/1/10,4/30/10,271
Olympia,Condo/Co-op,5/1/10,5/31/10,155
Olympia,Condo/Co-op,6/1/10,6/30/10,380
Sammamish,Condo/Co-op,6/1/10,6/30/10,229
Bellevue,Condo/Co-op,6/1/10,6/30/10,308
Bellevue,Condo/Co-op,7/1/10,7/31/10,280
Sammamish,Condo/Co-op,8/1/10,8/31/10,230
Olympia,Condo/Co-op,11/1/10,11/30/10,170
Kent,Condo/Co-op,12/1/10,12/31/10,132
Sammamish,Condo/Co-op,5/1/11,5/31/11,178
Olympia,Condo/Co-op,7/1/11,7/31/11,121
Kent,Condo/Co-op,8/1/11,8/31/11,78
Redmond,Condo/Co-op,9/1/11,9/30/11,168
Snoqualmie,Condo/Co-op,10/1/11,10/31/11,205
Tacoma,Condo/Co-op,12/1/11,12/31/11,200
Seattle,Condo/Co-op,3/1/12,3/31/12,225
Bellevue,Condo/Co-op,7/1/12,7/31/12,375
Bellevue,Condo/Co-op,8/1/12,8/31/12,390
Snoqualmie,Condo/Co-op,8/1/12,8/31/12,123
Olympia,Condo/Co-op,9/1/12,9/30/12,129
Kirkland,Condo/Co-op,11/1/12,11/30/12,181
Kent,Condo/Co-op,11/1/12,11/30/12,75
Kenmore,Condo/Co-op,11/1/12,11/30/12,93
Mercer Island,Condo/Co-op,12/1/12,12/31/12,248
Snoqualmie,Condo/Co-op,2/1/13,2/28/13,200
Bothell,Condo/Co-op,2/1/13,2/28/13,127
Olympia,Condo/Co-op,3/1/13,3/31/13,110
Kenmore,Condo/Co-op,3/1/13,3/31/13,155
Mercer Island,Condo/Co-op,3/1/13,3/31/13,116
Bellevue,Condo/Co-op,5/1/13,5/31/13,275
Olympia,Condo/Co-op,8/1/13,8/31/13,138
Snoqualmie,Condo/Co-op,8/1/13,8/31/13,326
Seattle,Condo/Co-op,8/1/13,8/31/13,290
Tacoma,Condo/Co-op,8/1/13,8/31/13,162
Tacoma,Condo/Co-op,9/1/13,9/30/13,110
Kent,Condo/Co-op,10/1/13,10/31/13,93
Kenmore,Condo/Co-op,11/1/13,11/30/13,180
Bellevue,Condo/Co-op,1/1/14,1/31/14,257
Mercer Island,Condo/Co-op,2/1/14,2/28/14,330
Mercer Island,Condo/Co-op,3/1/14,3/31/14,335
Seattle,Condo/Co-op,4/1/14,4/30/14,285
Tacoma,Condo/Co-op,4/1/14,4/30/14,110
Olympia,Condo/Co-op,8/1/14,8/31/14,162
Bothell,Condo/Co-op,8/1/14,8/31/14,204
Kenmore,Condo/Co-op,9/1/14,9/30/14,281
Seattle,Condo/Co-op,9/1/14,9/30/14,285
Sammamish,Condo/Co-op,10/1/14,10/31/14,251
Sammamish,Condo/Co-op,3/1/15,3/31/15,270
Mercer Island,Condo/Co-op,5/1/15,5/31/15,310
Tacoma,Condo/Co-op,5/1/15,5/31/15,188
Olympia,Condo/Co-op,6/1/15,6/30/15,169
Olympia,Condo/Co-op,7/1/15,7/31/15,149
Tacoma,Condo/Co-op,7/1/15,7/31/15,219
Snoqualmie,Condo/Co-op,9/1/15,9/30/15,430
Tacoma,Condo/Co-op,9/1/15,9/30/15,168
Sammamish,Condo/Co-op,10/1/15,10/31/15,271
Bellevue,Condo/Co-op,12/1/15,12/31/15,277
Sammamish,Condo/Co-op,2/1/16,2/29/16,270
Olympia,Condo/Co-op,3/1/16,3/31/16,165
Tacoma,Condo/Co-op,3/1/16,3/31/16,167
Tacoma,Condo/Co-op,6/1/16,6/30/16,227
Olympia,Condo/Co-op,8/1/16,8/31/16,123
Seattle,Condo/Co-op,9/1/16,9/30/16,490
Tacoma,Condo/Co-op,10/1/16,10/31/16,178
Olympia,Condo/Co-op,12/1/16,12/31/16,119
Bothell,Condo/Co-op,1/1/17,1/31/17,457
Tacoma,Condo/Co-op,4/1/17,4/30/17,180
Redmond,Condo/Co-op,6/1/17,6/30/17,375
Tacoma,Condo/Co-op,7/1/17,7/31/17,215
Bellevue,Condo/Co-op,8/1/17,8/31/17,450
Olympia,Condo/Co-op,12/1/17,12/31/17,214
Redmond,Condo/Co-op,12/1/17,12/31/17,375
Sammamish,Condo/Co-op,1/1/18,1/31/18,320
Snoqualmie,Condo/Co-op,2/1/18,2/28/18,444
Bellevue,Condo/Co-op,2/1/18,2/28/18,444
Bothell,Condo/Co-op,4/1/18,4/30/18,378
Seattle,Condo/Co-op,4/1/18,4/30/18,533
Snoqualmie,Condo/Co-op,6/1/18,6/30/18,457
Mercer Island,Condo/Co-op,7/1/18,7/31/18,384
Tacoma,Condo/Co-op,9/1/18,9/30/18,240
Olympia,Condo/Co-op,10/1/18,10/31/18,93
Bellevue,Condo/Co-op,11/1/18,11/30/18,585
Sammamish,Condo/Co-op,11/1/18,11/30/18,387
Bellevue,Condo/Co-op,12/1/18,12/31/18,421
Sammamish,Condo/Co-op,3/1/19,3/31/19,397
Bellevue,Condo/Co-op,4/1/19,4/30/19,505
Olympia,Condo/Co-op,5/1/19,5/31/19,195
Tacoma,Condo/Co-op,7/1/19,7/31/19,298
Snoqualmie,Condo/Co-op,8/1/19,8/31/19,444
Tacoma,Condo/Co-op,8/1/19,8/31/19,285
Snoqualmie,Single Family Residential,3/1/10,3/31/10,462
Seattle,Single Family Residential,4/1/10,4/30/10,405
Olympia,Single Family Residential,5/1/10,5/31/10,250
Seattle,Single Family Residential,8/1/10,8/31/10,423
Snoqualmie,Single Family Residential,8/1/10,8/31/10,543
Snoqualmie,Single Family Residential,10/1/10,10/31/10,455
Mercer Island,Single Family Residential,11/1/10,11/30/10,750
Tacoma,Single Family Residential,12/1/10,12/31/10,178
Redmond,Single Family Residential,2/1/11,2/28/11,425
Bothell,Single Family Residential,3/1/11,3/31/11,330
Sammamish,Single Family Residential,3/1/11,3/31/11,570
Bellevue,Single Family Residential,6/1/11,6/30/11,595
Seattle,Single Family Residential,6/1/11,6/30/11,400
Tacoma,Single Family Residential,6/1/11,6/30/11,155
Tacoma,Single Family Residential,7/1/11,7/31/11,160
Kenmore,Single Family Residential,11/1/11,11/30/11,374
Sammamish,Single Family Residential,1/1/12,1/31/12,518
Bothell,Single Family Residential,4/1/12,4/30/12,340
Mercer Island,Single Family Residential,6/1/12,6/30/12,877
Seattle,Single Family Residential,7/1/12,7/31/12,421
Tacoma,Single Family Residential,9/1/12,9/30/12,169
Snoqualmie,Single Family Residential,10/1/12,10/31/12,420
Sammamish,Single Family Residential,12/1/12,12/31/12,579
Mercer Island,Single Family Residential,12/1/12,12/31/12,894
Tacoma,Multi-Family (2-4 Unit),1/1/10,1/31/10,200
Tacoma,Multi-Family (2-4 Unit),11/1/10,11/30/10,135
Olympia,Multi-Family (2-4 Unit),4/1/11,4/30/11,210
Tacoma,Multi-Family (2-4 Unit),8/1/11,8/31/11,205
Tacoma,Multi-Family (2-4 Unit),10/1/11,10/31/11,174
Tacoma,Multi-Family (2-4 Unit),11/1/11,11/30/11,140
Olympia,Multi-Family (2-4 Unit),1/1/12,1/31/12,160
Tacoma,Multi-Family (2-4 Unit),2/1/12,2/29/12,98
Tacoma,Multi-Family (2-4 Unit),8/1/12,8/31/12,132
Tacoma,Multi-Family (2-4 Unit),12/1/12,12/31/12,180
Olympia,Multi-Family (2-4 Unit),2/1/13,2/28/13,176
Bellevue,Multi-Family (2-4 Unit),4/1/13,4/30/13,450
Tacoma,Multi-Family (2-4 Unit),5/1/13,5/31/13,217
Olympia,Multi-Family (2-4 Unit),7/1/13,7/31/13,231
Seattle,Multi-Family (2-4 Unit),10/1/13,10/31/13,573
Olympia,Multi-Family (2-4 Unit),2/1/14,2/28/14,221
Olympia,Multi-Family (2-4 Unit),3/1/14,3/31/14,303
Tacoma,Multi-Family (2-4 Unit),4/1/14,4/30/14,186
Tacoma,Multi-Family (2-4 Unit),8/1/14,8/31/14,220
Seattle,Multi-Family (2-4 Unit),10/1/14,10/31/14,687
Olympia,Multi-Family (2-4 Unit),7/1/15,7/31/15,340
Olympia,Multi-Family (2-4 Unit),9/1/15,9/30/15,225
Olympia,Multi-Family (2-4 Unit),11/1/15,11/30/15,233
Bellevue,Multi-Family (2-4 Unit),3/1/16,3/31/16,900
Seattle,Multi-Family (2-4 Unit),3/1/16,3/31/16,708
Olympia,Multi-Family (2-4 Unit),4/1/16,4/30/16,230
Tacoma,Multi-Family (2-4 Unit),4/1/16,4/30/16,265
Seattle,Multi-Family (2-4 Unit),6/1/16,6/30/16,925
Seattle,Multi-Family (2-4 Unit),7/1/16,7/31/16,728
Bellevue,Multi-Family (2-4 Unit),9/1/16,9/30/16,"1,527"
Olympia,Multi-Family (2-4 Unit),11/1/16,11/30/16,323
Seattle,Multi-Family (2-4 Unit),1/1/17,1/31/17,875
Olympia,Multi-Family (2-4 Unit),6/1/17,6/30/17,283
Seattle,Multi-Family (2-4 Unit),8/1/17,8/31/17,835
Olympia,Multi-Family (2-4 Unit),9/1/17,9/30/17,355
Olympia,Multi-Family (2-4 Unit),11/1/17,11/30/17,280
Olympia,Multi-Family (2-4 Unit),3/1/18,3/31/18,325
Tacoma,Multi-Family (2-4 Unit),4/1/18,4/30/18,388
Tacoma,Multi-Family (2-4 Unit),7/1/18,7/31/18,381
Kent,Multi-Family (2-4 Unit),8/1/18,8/31/18,345
Bellevue,Multi-Family (2-4 Unit),9/1/18,9/30/18,"1,575"
Olympia,Multi-Family (2-4 Unit),11/1/18,11/30/18,369
Olympia,Multi-Family (2-4 Unit),2/1/19,2/28/19,303
Olympia,Multi-Family (2-4 Unit),3/1/19,3/31/19,408
Tacoma,Multi-Family (2-4 Unit),6/1/19,6/30/19,425
Bothell,Single Family Residential,7/1/13,7/31/13,425
Redmond,Single Family Residential,8/1/13,8/31/13,576
Kenmore,Single Family Residential,11/1/13,11/30/13,424
Mercer Island,Single Family Residential,2/1/14,2/28/14,860
Seattle,Single Family Residential,3/1/14,3/31/14,458
Tacoma,Single Family Residential,3/1/14,3/31/14,185
Olympia,Single Family Residential,4/1/14,4/30/14,230
Kirkland,Single Family Residential,4/1/14,4/30/14,548
Issaquah,Single Family Residential,6/1/14,6/30/14,580
Bellevue,Single Family Residential,8/1/14,8/31/14,755
Tacoma,Single Family Residential,12/1/14,12/31/14,183
Issaquah,Single Family Residential,1/1/15,1/31/15,729
Seattle,Single Family Residential,2/1/15,2/28/15,511
Sammamish,Single Family Residential,2/1/15,2/28/15,677
Olympia,Single Family Residential,3/1/15,3/31/15,235
Kenmore,Single Family Residential,4/1/15,4/30/15,511
Olympia,Single Family Residential,5/1/15,5/31/15,265
Seattle,Single Family Residential,6/1/15,6/30/15,567
Snoqualmie,Single Family Residential,7/1/15,7/31/15,532
Olympia,Single Family Residential,9/1/15,9/30/15,270
Snoqualmie,Single Family Residential,9/1/15,9/30/15,490
Kirkland,Single Family Residential,9/1/15,9/30/15,650
Bothell,Single Family Residential,9/1/15,9/30/15,498
Olympia,Single Family Residential,11/1/15,11/30/15,265
Bellevue,Single Family Residential,11/1/15,11/30/15,783
Tacoma,Single Family Residential,12/1/15,12/31/15,221
Seattle,Single Family Residential,1/1/16,1/31/16,568
Snoqualmie,Single Family Residential,1/1/16,1/31/16,607
Tacoma,Single Family Residential,5/1/16,5/31/16,239
Bellevue,Single Family Residential,6/1/16,6/30/16,950
Bellevue,Single Family Residential,7/1/16,7/31/16,871
Mercer Island,Single Family Residential,8/1/16,8/31/16,"1,513"
Olympia,Single Family Residential,12/1/16,12/31/16,292
Kirkland,Single Family Residential,12/1/16,12/31/16,754
Sammamish,Single Family Residential,12/1/16,12/31/16,961
Mercer Island,Single Family Residential,1/1/17,1/31/17,"1,758"
Redmond,Single Family Residential,2/1/17,2/28/17,853
Sammamish,Single Family Residential,3/1/17,3/31/17,915
Seattle,Single Family Residential,4/1/17,4/30/17,720
Mercer Island,Single Family Residential,6/1/17,6/30/17,"1,542"
Tacoma,Single Family Residential,6/1/17,6/30/17,275
Sammamish,Single Family Residential,9/1/17,9/30/17,"1,045"
Bellevue,Single Family Residential,11/1/17,11/30/17,"1,165"
Tacoma,Single Family Residential,11/1/17,11/30/17,275
Olympia,Single Family Residential,1/1/18,1/31/18,300
Bothell,Single Family Residential,1/1/18,1/31/18,666
Sammamish,Single Family Residential,5/1/18,5/31/18,"1,035"
Snoqualmie,Single Family Residential,8/1/18,8/31/18,675
Seattle,Single Family Residential,8/1/18,8/31/18,750
Mercer Island,Single Family Residential,8/1/18,8/31/18,"1,760"
Olympia,Single Family Residential,9/1/18,9/30/18,325
Redmond,Single Family Residential,9/1/18,9/30/18,915
Snoqualmie,Single Family Residential,10/1/18,10/31/18,699
Sammamish,Single Family Residential,12/1/18,12/31/18,"1,030"
Snoqualmie,Single Family Residential,2/1/19,2/28/19,534
Tacoma,Single Family Residential,3/1/19,3/31/19,320
Olympia,Single Family Residential,5/1/19,5/31/19,364
Bothell,Single Family Residential,8/1/19,8/31/19,694
Kirkland,Single Family Residential,9/1/19,9/30/19,805
Bothell,Single Family Residential,1/1/10,1/31/10,355
Olympia,Single Family Residential,2/1/10,2/28/10,242
Sammamish,Single Family Residential,2/1/10,2/28/10,527
Kent,Single Family Residential,4/1/10,4/30/10,265
Snoqualmie,Single Family Residential,4/1/10,4/30/10,460
Mercer Island,Single Family Residential,5/1/10,5/31/10,878
Tacoma,Single Family Residential,6/1/10,6/30/10,175
Kirkland,Single Family Residential,8/1/10,8/31/10,480
Bellevue,Single Family Residential,9/1/10,9/30/10,527
Kenmore,Single Family Residential,10/1/10,10/31/10,362
Tacoma,Single Family Residential,10/1/10,10/31/10,171
Mercer Island,Single Family Residential,2/1/11,2/28/11,714
Olympia,Single Family Residential,4/1/11,4/30/11,237
Bothell,Single Family Residential,8/1/11,8/31/11,340
Kenmore,Single Family Residential,8/1/11,8/31/11,310
Bothell,Single Family Residential,9/1/11,9/30/11,356
Seattle,Single Family Residential,9/1/11,9/30/11,385
Kenmore,Single Family Residential,9/1/11,9/30/11,374
Olympia,Single Family Residential,10/1/11,10/31/11,235
Kirkland,Single Family Residential,10/1/11,10/31/11,391
Tacoma,Single Family Residential,10/1/11,10/31/11,150
Snoqualmie,Single Family Residential,11/1/11,11/30/11,394
Bothell,Single Family Residential,12/1/11,12/31/11,329
Mercer Island,Single Family Residential,12/1/11,12/31/11,946
Olympia,Single Family Residential,2/1/12,2/29/12,250
Snoqualmie,Single Family Residential,3/1/12,3/31/12,441
Sammamish,Single Family Residential,4/1/12,4/30/12,520
Redmond,Single Family Residential,5/1/12,5/31/12,534
Sammamish,Single Family Residential,7/1/12,7/31/12,570
Sammamish,Single Family Residential,8/1/12,8/31/12,580
Kenmore,Single Family Residential,8/1/12,8/31/12,405
Tacoma,Single Family Residential,8/1/12,8/31/12,155
Olympia,Single Family Residential,11/1/12,11/30/12,227
Tacoma,Single Family Residential,1/1/13,1/31/13,156
Sammamish,Single Family Residential,2/1/13,2/28/13,565
Bellevue,Single Family Residential,3/1/13,3/31/13,585
Redmond,Single Family Residential,7/1/13,7/31/13,611
Kirkland,Single Family Residential,8/1/13,8/31/13,540
Snoqualmie,Single Family Residential,8/1/13,8/31/13,508
Olympia,Single Family Residential,9/1/13,9/30/13,246
Snoqualmie,Single Family Residential,3/1/14,3/31/14,465
Bellevue,Single Family Residential,4/1/14,4/30/14,744
Snoqualmie,Single Family Residential,4/1/14,4/30/14,450
Bothell,Single Family Residential,6/1/14,6/30/14,477
Kenmore,Single Family Residential,7/1/14,7/31/14,438
Mercer Island,Single Family Residential,9/1/14,9/30/14,965
Seattle,Single Family Residential,11/1/14,11/30/14,495
Snoqualmie,Single Family Residential,11/1/14,11/30/14,515
Bothell,Single Family Residential,12/1/14,12/31/14,498
Snoqualmie,Single Family Residential,1/1/15,1/31/15,572
Snoqualmie,Single Family Residential,3/1/15,3/31/15,533
Kenmore,Single Family Residential,3/1/15,3/31/15,562
Sammamish,Single Family Residential,4/1/15,4/30/15,750
Bothell,Single Family Residential,4/1/15,4/30/15,483
Mercer Island,Single Family Residential,5/1/15,5/31/15,"1,210"
Tacoma,Single Family Residential,5/1/15,5/31/15,210
Tacoma,Single Family Residential,6/1/15,6/30/15,215
Bellevue,Single Family Residential,7/1/15,7/31/15,826
Kent,Single Family Residential,7/1/15,7/31/15,336
Seattle,Single Family Residential,8/1/15,8/31/15,572
Tacoma,Single Family Residential,9/1/15,9/30/15,213
Sammamish,Single Family Residential,11/1/15,11/30/15,768
Kent,Single Family Residential,11/1/15,11/30/15,323
Sammamish,Single Family Residential,1/1/16,1/31/16,815
Bellevue,Single Family Residential,1/1/16,1/31/16,780
Kent,Single Family Residential,1/1/16,1/31/16,337
Olympia,Single Family Residential,3/1/16,3/31/16,270
Seattle,Single Family Residential,3/1/16,3/31/16,646
Sammamish,Single Family Residential,3/1/16,3/31/16,818
Redmond,Single Family Residential,5/1/16,5/31/16,760
Sammamish,Single Family Residential,5/1/16,5/31/16,820
Bothell,Single Family Residential,6/1/16,6/30/16,530
Sammamish,Single Family Residential,7/1/16,7/31/16,861
Olympia,Single Family Residential,8/1/16,8/31/16,292
Kenmore,Single Family Residential,8/1/16,8/31/16,628
Tacoma,Single Family Residential,9/1/16,9/30/16,244
Bothell,Single Family Residential,10/1/16,10/31/16,568
Snoqualmie,Single Family Residential,11/1/16,11/30/16,626
Sammamish,Single Family Residential,2/1/17,2/28/17,910
Snoqualmie,Single Family Residential,3/1/17,3/31/17,720
Mercer Island,Single Family Residential,4/1/17,4/30/17,"1,550"
Olympia,Single Family Residential,5/1/17,5/31/17,310
Issaquah,Single Family Residential,5/1/17,5/31/17,855
Tacoma,Single Family Residential,5/1/17,5/31/17,265
Kent,Single Family Residential,6/1/17,6/30/17,410
Kenmore,Single Family Residential,8/1/17,8/31/17,745
Tacoma,Single Family Residential,8/1/17,8/31/17,275
Bothell,Single Family Residential,9/1/17,9/30/17,634
Bellevue,Single Family Residential,1/1/18,1/31/18,"1,230"
Redmond,Single Family Residential,3/1/18,3/31/18,955
Tacoma,Single Family Residential,3/1/18,3/31/18,300
Bothell,Single Family Residential,4/1/18,4/30/18,723
Seattle,Single Family Residential,4/1/18,4/30/18,830
Issaquah,Single Family Residential,4/1/18,4/30/18,930
Sammamish,Single Family Residential,4/1/18,4/30/18,"1,008"
Kenmore,Single Family Residential,6/1/18,6/30/18,792
Tacoma,Single Family Residential,10/1/18,10/31/18,303
Snoqualmie,Single Family Residential,1/1/19,1/31/19,698
Mercer Island,Single Family Residential,4/1/19,4/30/19,"1,565"
Sammamish,Single Family Residential,7/1/19,7/31/19,"1,012"
Issaquah,Single Family Residential,7/1/19,7/31/19,845
Tacoma,Single Family Residential,7/1/19,7/31/19,340
Kirkland,Townhouse,2/1/10,2/28/10,368
Snoqualmie,Townhouse,2/1/10,2/28/10,369
Sammamish,Townhouse,4/1/10,4/30/10,325
Olympia,Townhouse,5/1/10,5/31/10,181
Seattle,Townhouse,5/1/10,5/31/10,361
Sammamish,Townhouse,6/1/10,6/30/10,300
Redmond,Townhouse,8/1/10,8/31/10,283
Sammamish,Townhouse,9/1/10,9/30/10,320
Olympia,Townhouse,11/1/10,11/30/10,200
Bothell,Townhouse,11/1/10,11/30/10,224
Kirkland,Townhouse,11/1/10,11/30/10,410
Kenmore,Townhouse,12/1/10,12/31/10,235
Sammamish,Townhouse,1/1/11,1/31/11,290
Bellevue,Townhouse,1/1/11,1/31/11,272
Snoqualmie,Townhouse,1/1/11,1/31/11,365
Olympia,Townhouse,3/1/11,3/31/11,200
Bothell,Townhouse,4/1/11,4/30/11,237
Sammamish,Townhouse,4/1/11,4/30/11,275
Kirkland,Townhouse,5/1/11,5/31/11,308
Redmond,Townhouse,7/1/11,7/31/11,260
Redmond,Townhouse,9/1/11,9/30/11,263
Seattle,Townhouse,10/1/11,10/31/11,308
Sammamish,Townhouse,12/1/11,12/31/11,263
Issaquah,Townhouse,12/1/11,12/31/11,290
Bellevue,Townhouse,2/1/12,2/29/12,220
Bothell,Townhouse,3/1/12,3/31/12,210
Kenmore,Townhouse,4/1/12,4/30/12,132
Olympia,Townhouse,5/1/12,5/31/12,228
Snoqualmie,Townhouse,5/1/12,5/31/12,308
Snoqualmie,Townhouse,7/1/12,7/31/12,326
Bothell,Townhouse,8/1/12,8/31/12,175
Snoqualmie,Townhouse,10/1/12,10/31/12,187
Snoqualmie,Townhouse,12/1/12,12/31/12,242
Kent,Townhouse,7/1/13,7/31/13,179
Sammamish,Townhouse,8/1/13,8/31/13,338
Bothell,Townhouse,8/1/13,8/31/13,243
Redmond,Townhouse,8/1/13,8/31/13,338
Tacoma,Townhouse,8/1/13,8/31/13,177
Bellevue,Townhouse,10/1/13,10/31/13,301
Sammamish,Townhouse,12/1/13,12/31/13,440
Seattle,Townhouse,1/1/14,1/31/14,403
Tacoma,Townhouse,1/1/14,1/31/14,210
Snoqualmie,Townhouse,2/1/14,2/28/14,380
Redmond,Townhouse,3/1/14,3/31/14,417
Olympia,Townhouse,4/1/14,4/30/14,240
Bothell,Townhouse,6/1/14,6/30/14,345
Tacoma,Townhouse,7/1/14,7/31/14,134
Bellevue,Townhouse,8/1/14,8/31/14,456
Bellevue,Townhouse,11/1/14,11/30/14,439
Tacoma,Townhouse,12/1/14,12/31/14,215
Kent,Townhouse,1/1/15,1/31/15,170
Tacoma,Townhouse,1/1/15,1/31/15,195
Bellevue,Townhouse,3/1/15,3/31/15,403
Issaquah,Townhouse,4/1/15,4/30/15,419
Olympia,Townhouse,5/1/15,5/31/15,159
Kirkland,Townhouse,5/1/15,5/31/15,325
Olympia,Townhouse,6/1/15,6/30/15,199
Snoqualmie,Townhouse,7/1/15,7/31/15,390
Snoqualmie,Townhouse,8/1/15,8/31/15,340
Issaquah,Townhouse,8/1/15,8/31/15,433
Bothell,Townhouse,9/1/15,9/30/15,346
Issaquah,Townhouse,9/1/15,9/30/15,410
Olympia,Townhouse,10/1/15,10/31/15,201
Seattle,Townhouse,12/1/15,12/31/15,525
Bellevue,Townhouse,1/1/16,1/31/16,483
Sammamish,Townhouse,2/1/16,2/29/16,465
Olympia,Townhouse,4/1/16,4/30/16,139
Tacoma,Townhouse,6/1/16,6/30/16,245
Olympia,Townhouse,8/1/16,8/31/16,205
Mercer Island,Townhouse,8/1/16,8/31/16,668
Mercer Island,Townhouse,9/1/16,9/30/16,"1,025"
Sammamish,Townhouse,12/1/16,12/31/16,480
Bothell,Townhouse,2/1/17,2/28/17,340
Snoqualmie,Townhouse,3/1/17,3/31/17,539
Tacoma,Townhouse,3/1/17,3/31/17,201
Sammamish,Townhouse,5/1/17,5/31/17,510
Kirkland,Townhouse,5/1/17,5/31/17,523
Bellevue,Townhouse,7/1/17,7/31/17,534
Bothell,Townhouse,7/1/17,7/31/17,338
Kenmore,Townhouse,8/1/17,8/31/17,428
Snoqualmie,Townhouse,9/1/17,9/30/17,508
Bellevue,Townhouse,9/1/17,9/30/17,581
Kenmore,Townhouse,11/1/17,11/30/17,585
Olympia,Townhouse,12/1/17,12/31/17,240
Bothell,Townhouse,3/1/18,3/31/18,463
Sammamish,Townhouse,5/1/18,5/31/18,758
Olympia,Townhouse,6/1/18,6/30/18,270
Redmond,Townhouse,6/1/18,6/30/18,692
Bellevue,Townhouse,6/1/18,6/30/18,785
Bothell,Townhouse,7/1/18,7/31/18,417
Seattle,Townhouse,8/1/18,8/31/18,668
Kent,Townhouse,9/1/18,9/30/18,302
Bellevue,Townhouse,9/1/18,9/30/18,760
Tacoma,Townhouse,11/1/18,11/30/18,271
Kirkland,Townhouse,1/1/19,1/31/19,554
Olympia,Townhouse,4/1/19,4/30/19,276
Bothell,Townhouse,4/1/19,4/30/19,490
Kenmore,Townhouse,7/1/19,7/31/19,465
Kenmore,Townhouse,9/1/19,9/30/19,690
Kenmore,Townhouse,1/1/10,1/31/10,172
Olympia,Townhouse,2/1/10,2/28/10,215
Redmond,Townhouse,3/1/10,3/31/10,305
Olympia,Townhouse,4/1/10,4/30/10,220
Snoqualmie,Townhouse,4/1/10,4/30/10,282
Olympia,Townhouse,6/1/10,6/30/10,188
Sammamish,Townhouse,7/1/10,7/31/10,350
Kent,Townhouse,9/1/10,9/30/10,159
Sammamish,Townhouse,10/1/10,10/31/10,251
Tacoma,Townhouse,10/1/10,10/31/10,215
Snoqualmie,Townhouse,2/1/11,2/28/11,310
Seattle,Townhouse,3/1/11,3/31/11,309
Tacoma,Townhouse,7/1/11,7/31/11,129
Kent,Townhouse,12/1/11,12/31/11,121
Bellevue,Townhouse,12/1/11,12/31/11,279
Tacoma,Townhouse,12/1/11,12/31/11,140
Bothell,Townhouse,1/1/12,1/31/12,209
Olympia,Townhouse,2/1/12,2/29/12,68
Seattle,Townhouse,3/1/12,3/31/12,329
Olympia,Townhouse,4/1/12,4/30/12,125
Kenmore,Townhouse,5/1/12,5/31/12,214
Snoqualmie,Townhouse,6/1/12,6/30/12,326
Mercer Island,Townhouse,11/1/12,11/30/12,705
Bellevue,Townhouse,11/1/12,11/30/12,323
Seattle,Townhouse,11/1/12,11/30/12,379
Kirkland,Townhouse,12/1/12,12/31/12,330
Tacoma,Townhouse,12/1/12,12/31/12,100
Olympia,Townhouse,2/1/13,2/28/13,152
Snoqualmie,Townhouse,2/1/13,2/28/13,179
Snoqualmie,Townhouse,5/1/13,5/31/13,296
Tacoma,Townhouse,5/1/13,5/31/13,164
Seattle,Townhouse,6/1/13,6/30/13,374
Kirkland,Townhouse,6/1/13,6/30/13,305
Tacoma,Townhouse,7/1/13,7/31/13,126
Olympia,Townhouse,9/1/13,9/30/13,170
Sammamish,Townhouse,9/1/13,9/30/13,311
Seattle,Townhouse,2/1/14,2/28/14,402
Tacoma,Townhouse,2/1/14,2/28/14,120
Bothell,Townhouse,3/1/14,3/31/14,244
Tacoma,Townhouse,6/1/14,6/30/14,170
Issaquah,Townhouse,7/1/14,7/31/14,383
Bellevue,Townhouse,9/1/14,9/30/14,389
Snoqualmie,Townhouse,11/1/14,11/30/14,335
Kent,Townhouse,11/1/14,11/30/14,200
Bellevue,Townhouse,12/1/14,12/31/14,364
Olympia,Townhouse,1/1/15,1/31/15,120
Bellevue,Townhouse,1/1/15,1/31/15,329
Olympia,Townhouse,2/1/15,2/28/15,193
Olympia,Townhouse,4/1/15,4/30/15,189
Olympia,Townhouse,9/1/15,9/30/15,200
Redmond,Townhouse,9/1/15,9/30/15,423
Kirkland,Townhouse,11/1/15,11/30/15,485
Kent,Townhouse,11/1/15,11/30/15,215
Tacoma,Townhouse,11/1/15,11/30/15,152
Kirkland,Townhouse,3/1/16,3/31/16,450
Bothell,Townhouse,3/1/16,3/31/16,321
Sammamish,Townhouse,5/1/16,5/31/16,500
Seattle,Townhouse,8/1/16,8/31/16,552
Bellevue,Townhouse,12/1/16,12/31/16,462
Tacoma,Townhouse,12/1/16,12/31/16,230
Snoqualmie,Townhouse,1/1/17,1/31/17,366
Mercer Island,Townhouse,2/1/17,2/28/17,"1,095"
Kirkland,Townhouse,3/1/17,3/31/17,567
Sammamish,Townhouse,7/1/17,7/31/17,533
Snoqualmie,Townhouse,8/1/17,8/31/17,637
Olympia,Townhouse,9/1/17,9/30/17,227
Seattle,Townhouse,9/1/17,9/30/17,711
Kirkland,Townhouse,9/1/17,9/30/17,533
Bothell,Townhouse,10/1/17,10/31/17,445
Snoqualmie,Townhouse,12/1/17,12/31/17,576
Tacoma,Townhouse,12/1/17,12/31/17,222
Tacoma,Townhouse,1/1/18,1/31/18,220
Tacoma,Townhouse,3/1/18,3/31/18,230
Bothell,Townhouse,5/1/18,5/31/18,524
